naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
Toba,Nova Crnja,45.687321600054716,20.56174657423881,Jna,16
Aleksandrovo,Nova Crnja,45.63909026083953,20.58189058161409,Železnička,8A
Aleksandrovo,Nova Crnja,45.63329613476127,20.583379613047256,Karađorđeva,65
Aleksandrovo,Nova Crnja,45.642108174001315,20.586712867305973,Karađorđeva,23A
Aleksandrovo,Nova Crnja,45.633259612013724,20.589501980616745,Branka Radičevića,29
Aleksandrovo,Nova Crnja,45.63892706352192,20.58970772867564,Mihajla Pupina,50A
Aleksandrovo,Nova Crnja,45.63297011165147,20.590798122533723,Branka Radičevića,33A
Aleksandrovo,Nova Crnja,45.631387076530764,20.591843322447613,Žarka Zrenjanina,72
Aleksandrovo,Nova Crnja,45.636820409868605,20.59488147977942,Nikole Tesle,51
Aleksandrovo,Nova Crnja,45.636403676892705,20.59691994963568,Nikole Tesle,59
Aleksandrovo,Nova Crnja,45.632901747944224,20.597908069356148,Gavrila Principa,57
Aleksandrovo,Nova Crnja,45.63016519257131,20.59857295157039,Vuka Karadžića,52
Aleksandrovo,Nova Crnja,45.63488395250698,20.59842558460434,Gavrila Principa,43
Aleksandrovo,Nova Crnja,45.63228909606219,20.599893883285375,Vuka Karadžića,69
Aleksandrovo,Nova Crnja,45.64272289000814,20.60133984658026,Gavrila Principa,7
Aleksandrovo,Nova Crnja,45.643344711993905,20.592044712638224,Mihajla Pupina,21
Aleksandrovo,Nova Crnja,45.64418121882065,20.60193378553654,Svetozara Markovića,60
Srpska Crnja,Nova Crnja,45.724227023095544,20.671136620095,Zaselak Bašte,1
Vojvoda Stepa,Nova Crnja,45.67480219689027,20.651359644594876,Alekse Šantića,74
Vojvoda Stepa,Nova Crnja,45.68866318865974,20.64960746192902,Njegoševa,6
Vojvoda Stepa,Nova Crnja,45.68011405949731,20.655038392452358,Karađorđeva,50
Vojvoda Stepa,Nova Crnja,45.68738181027378,20.65722662608497,Karađorđeva,23B
Vojvoda Stepa,Nova Crnja,45.69316138801849,20.65760334607299,Karađorđeva,10
Vojvoda Stepa,Nova Crnja,45.69417619920821,20.65840426593848,Karađorđeva,1
Vojvoda Stepa,Nova Crnja,45.68451137573061,20.660278527046188,Jna,41
Vojvoda Stepa,Nova Crnja,45.684344433812335,20.66177302520296,Jna,47
Vojvoda Stepa,Nova Crnja,45.694967368231154,20.663528874318406,Đure Jakšića,57
Srpska Crnja,Nova Crnja,45.71676801231134,20.68582951583149,Kralja Aleksandra,138
Srpska Crnja,Nova Crnja,45.71381744761904,20.6882893067656,Nikole Pašića,24
Srpska Crnja,Nova Crnja,45.723044389779105,20.68180951212745,Kneza Miloša,18
Srpska Crnja,Nova Crnja,45.72288144785509,20.684330421816018,Partizanska,96
Srpska Crnja,Nova Crnja,45.721292811770724,20.684657409449134,Kneza Miloša,30
Srpska Crnja,Nova Crnja,45.72017118034365,20.687195660943456,Kneza Miloša,43
Srpska Crnja,Nova Crnja,45.72932774486634,20.692659726131723,Partizanska,23
Srpska Crnja,Nova Crnja,45.729845530009314,20.69274916442944,Partizanska,18
Srpska Crnja,Nova Crnja,45.73091746446475,20.693800521258584,Partizanska,12
Srpska Crnja,Nova Crnja,45.72354744311175,20.696599566135298,Drage Gavrilovića,1
Srpska Crnja,Nova Crnja,45.725569785819104,20.697567745639848,Đure Jakšića,51
Srpska Crnja,Nova Crnja,45.72629067486717,20.702683680788585,Nikole Tesle,32
Srpska Crnja,Nova Crnja,45.73550243944064,20.703069502297794,Svetozara Miletića,2
Srpska Crnja,Nova Crnja,45.727116551560464,20.704056977933625,Nikole Tesle,13
Radojevo,Nova Crnja,45.73978037419232,20.788535286183425,Mileta Jakšića,1
Radojevo,Nova Crnja,45.7397949152133,20.7883191490762,Mileta Jakšića,3
Radojevo,Nova Crnja,45.74639872432223,20.79345943407714,Vojvode Mišića,43
Toba,Nova Crnja,45.690976213536736,20.553103581360137,Feješ Klare,12
Toba,Nova Crnja,45.6872775600648,20.559773304694495,Jna,1
Aleksandrovo,Nova Crnja,45.632372284966074,20.580822164181992,Železnička,71
